0000-00-00 	 00:00:00,000 	 INFO 	Kernel loaded at address 0xc0101000 - 0xc021b000 (1155072 bytes long)
0000-00-00 	 00:00:00,000 	 INFO 	Memory map:
0000-00-00 	 00:00:00,000 	 INFO 	   Memory block : address : 0x0 ; length : 654336
0000-00-00 	 00:00:00,000 	 INFO 	   Memory block : address : 0x100000 ; length : 267255808
0000-00-00 	 00:00:00,000 	 INFO 	Detected 267910144 bytes of usable memory
0000-00-00 	 00:00:00,000 	 DEBUG 	Loaded the GDT
0000-00-00 	 00:00:00,000 	 DEBUG 	Loaded the IDT
0000-00-00 	 00:00:00,000 	 DEBUG 	Initialized the PIC
0000-00-00 	 00:00:00,000 	 DEBUG 	Initialized the PIT
0000-00-00 	 00:00:00,000 	 DEBUG 	Enabled interrupts
0000-00-00 	 00:00:00,000 	 DEBUG 	Setting up paging
0000-00-00 	 00:00:00,000 	 DEBUG 	Done setting up paging
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0113f2c
0000-00-00 	 00:00:00,000 	 DEBUG 	Switched to task 0xc0114f78
